VIN,date,ZIP,condition,price,mileage,image_count
137ZA9037WE182295,2016-10-11,30060,Used,0,39386,0
137ZA9037WE182295,2016-10-14,30060,Used,0,39386,0
19UDE2F78GA020523,2016-10-01,36606,New,30820,0,0
19UDE2F78GA020523,2016-10-04,36606,New,30820,0,0
19UDE2F78GA020523,2016-10-05,36606,New,30820,0,0
19UDE2F78GA020523,2016-10-08,36606,New,30820,0,0
19UDE2F78GA020523,2016-10-10,36606,New,30820,0,0
19UDE2F78GA020523,2016-10-12,36606,New,30820,0,0
19UDE2F78GA020523,2016-10-14,36606,New,30820,0,0
19UUA56623A083857,2016-10-02,37748,Used,0,0,0
19UUA56632A007014,2016-10-11,27888,Used,1995,200585,0
19UUA5667YA063613,2016-10-08,32244,Used,0,0,4
19UUA5668YA010189,2016-10-14,30297,Used,0,103364,0
19UUA56742A049295,2016-10-14,29732,Used,3999,186087,4
19UUA56872A018678,2016-10-05,30115,Used,6990,128553,62
19UUA56952A015965,2016-10-10,33762,Used,3400,99044,10
19UUA65514A052115,2016-10-06,29732,Used,5995,212124,3
19UUA65514A052115,2016-10-07,29732,Used,5995,212124,3
19UUA66216A077393,2016-10-10,24416,Used,8595,150862,0
19UUA66234A027768,2016-10-11,35020,Used,0,0,0
19UUA66237A013387,2016-10-05,36606,Used,9000,150650,2
19UUA66237A013387,2016-10-13,36606,Used,9000,150650,2
19UUA66246A075637,2016-10-12,30080,Used,5999,139017,2
19UUA66254A030770,2016-10-08,38834,Used,7995,145306,4
19UUA66264A036335,2016-10-07,30046,Used,6999,110142,14
19UUA66264A036335,2016-10-14,30046,Used,6999,110142,14
19UUA66275A025426,2016-10-01,33781,Used,5499,127964,0
19UUA66284A030892,2016-10-05,33604,Used,4500,159000,10
19UUA66284A070907,2016-10-12,30080,Used,5999,130589,17
19UUA66285A044471,2016-10-11,50131,Used,8995,109904,0
19UUA66286A012959,2016-10-03,28412,Used,5995,188688,0
19UUA66286A012959,2016-10-11,28412,Used,5995,188688,0
19UUA66286A061420,2016-10-07,34205,Used,0,0,0
19UUA66286A072773,2016-10-12,31408,Used,8495,129557,23
19UUA66287A038222,2016-10-13,36619,Used,0,132074,0
19UUA66288A053255,2016-10-04,32216,Used,12999,57598,3
19UUA66295A070531,2016-10-11,32618,Used,8900,147426,22
19UUA662X4A039951,2016-10-01,33982,Used,0,90382,0
19UUA662X5A006417,2016-10-14,30577,Used,0,126382,0
19UUA662X5A058405,2016-10-14,39056,Used,8999,121360,0
19UUA76517A031757,2016-10-02,29803,Used,10900,113301,18
19UUA86249A014398,2016-10-11,31535,Used,0,137165,5
19UUA86289A001587,2016-10-04,29829,Used,15990,78439,25
19UUA86289A001587,2016-10-14,29829,Used,15990,78439,25
19UUA8F22AA022844,2016-10-12,36606,Used,15500,98895,2
19UUA8F22AA022844,2016-10-13,36606,Used,15500,98895,2
19UUA8F25AA005830,2016-10-11,32618,Used,13900,142968,24
19UUA8F26AA002371,2016-10-10,30815,Used,0,125249,7
19UUA8F29DA006449,2016-10-11,36526,Used,0,46293,0
19UUA8F54DA010497,2016-10-10,36526,Used,0,24467,25
19UUA8F55AA004851,2016-10-11,32091,Used,16888,99993,15
19UUA8F5XCA025648,2016-10-12,29170,Used,0,168791,8
19UUA8F5XCA025648,2016-10-13,29170,Used,0,168791,8
19UUA8F5XCA025648,2016-10-14,29170,Used,0,168791,8
19UUA9F52AA002089,2016-10-13,36606,Used,16500,103970,30
19UUB2F32GA007675,2016-10-11,36606,CPO,34000,6000,42
19UYA2251XL009479,2016-10-12,27604,Used,6550,24310,21
19UYA42661A037544,2016-10-11,30096,Used,3995,164353,9
19XFA16529E047616,2016-10-13,27526,Used,9500,86900,17
19XFA16869E002768,2016-10-04,29526,Used,6995,141713,5
19XFA16869E002768,2016-10-11,29526,Used,6995,141713,5
19XFA1F38AE064309,2016-10-07,31407,Used,9495,88511,7
19XFB2F51EE033445,2016-10-04,61455,Used,0,46598,1
19XFB2F52EE055843,2016-10-11,34207,Used,15298,17004,8
19XFB2F53DE092513,2016-10-07,33603,Used,13995,71758,0
19XFB2F55FE073576,2016-10-09,30009,Used,13800,34000,2
19XFB2F59EE082988,2016-10-07,37040,Used,15991,38175,37
19XFB2F5XDE232279,2016-10-08,27215,Used,13950,29116,0
19XFB2F81CE016345,2016-10-07,29651,Used,0,204932,0
19XFB2F81CE083527,2016-10-11,34207,Used,11886,66756,9
19XFB2F82DE079794,2016-10-04,35501,Used,0,56121,0
19XFB2F86EE022984,2016-10-04,35501,Used,0,43756,0
19XFB4F31FE201807,2016-10-03,4072,CPO,0,4191,0
19XFB4F31FE201807,2016-10-05,4072,CPO,0,4191,0
1A8HW58P09F705562,2016-10-01,29526,Used,12000,124072,19
1A8HX58N58F107462,2016-10-05,34601,Used,0,137414,10
1B3BD4FB7BN598558,2016-10-01,77083,Used,5995,108568,6
1B3BD4FB7BN598558,2016-10-13,77083,Used,5995,108568,6
1B3CB3HA2BD113208,2016-10-14,34420,Used,0,0,0
1B3CB3HA7BD225373,2016-10-06,30188,Used,8900,49011,13
1B3CB4HA5AD533422,2016-10-11,30060,Used,9995,94849,0
1B3CC4FB1AN103664,2016-10-11,35023,Used,0,133971,0
1B3CC4FB2AN186523,2016-10-03,32801,Used,6595,102079,0
1B3CC4FD8AN201060,2016-10-07,34208,Used,7999,90818,0
1B3EJ46X21N627836,2016-10-12,29170,Used,1950,152818,4
1B3EL46X32N334507,2016-10-06,27215,Used,1500,179752,1
1B3EL46X85N673512,2016-10-11,28904,Used,4995,117527,0
1B3EL46X96N106811,2016-10-08,33603,Used,0,129098,0
1B3ES26C84D597895,2016-10-07,29170,Used,1950,135466,4
1B3ES26C84D597895,2016-10-11,29170,Used,1950,135466,4
1B3ES26C84D597895,2016-10-12,29170,Used,1950,135466,4
1B3ES46C42D638788,2016-10-12,28806,Used,4995,128850,4
1B3ES56C15D280172,2016-10-08,34669,Used,4499,124890,0
1B3ES56C15D280172,2016-10-09,34669,Used,4499,124890,0
1B3ES56C15D280172,2016-10-10,34669,Used,4499,124890,0
1B3ES56C22D625138,2016-10-01,33311,Used,1250,158959,3
1B3ES56C22D625138,2016-10-02,33311,Used,1250,158959,3
1B3ES56C74D505080,2016-10-11,33982,Used,0,96042,0
1B3ES56C93D113698,2016-10-12,28412,Used,3995,154382,11
1B3ES56C95D184547,2016-10-06,33619,Used,0,0,2
1B3ES56C95D184547,2016-10-07,33619,Used,0,0,2
1B3ES66S25D200973,2016-10-09,33781,Used,7499,117912,13
1B3ES66S34D518373,2016-10-14,30046,Used,4999,151266,14
1B3ES66S45D105833,2016-10-01,33781,Used,0,112000,14
1B3HB28B87D323568,2016-10-01,40701,Used,0,88397,0
1B3HB28B87D323568,2016-10-05,40701,Used,0,88397,0
1B3HB28B87D566426,2016-10-05,33415,Used,0,87807,19
1B3HB28BX7D258075,2016-10-08,37912,Used,4995,163671,0
1B3HB48B08D685343,2016-10-06,27262,Used,5995,145236,0
1B3HB48B08D685343,2016-10-08,27262,Used,5995,145236,0
1B3HB48B17D173539,2016-10-14,30223,Used,0,116914,0
1B3HB48C08D602258,2016-10-11,32210,Used,4995,0,5
1B3HB48C08D602258,2016-10-12,32210,Used,4995,0,5
1B3HB78K08D788389,2016-10-01,32771,Used,6312,147001,0
1B3HE78K87D143575,2016-10-03,32609,Used,7975,55574,0
1B3HE78KX7D524148,2016-10-03,30907,Used,5700,144897,0
1B3LC46B09N564107,2016-10-01,40701,Used,0,108497,0
1B3LC46B09N564107,2016-10-02,40701,Used,0,108497,0
1B3LC46B09N564107,2016-10-05,40701,Used,0,108497,0
1B3LC46R18N240062,2016-10-11,35023,Used,0,128600,0
1B3LC56B19N561397,2016-10-03,48640,Used,0,101227,0
1B3LC56B49N546733,2016-10-06,78602,Used,3995,178291,15
1B3LC56B49N546733,2016-10-09,78602,Used,3995,178291,15
1B3LC56B49N546733,2016-10-13,78602,Used,3995,178291,15
1B3LC56B99N509600,2016-10-02,34481,Used,6995,101430,0
1B3LC56B99N509600,2016-10-13,34481,Used,6995,101430,0
1B3LC56K48N660486,2016-10-01,77083,Used,6500,0,8
1B3LC56K48N660486,2016-10-13,77083,Used,6500,0,8
1B3LC56R18N670891,2016-10-05,29526,Used,7000,125634,18
1B3LC76M78N199054,2016-10-06,32205,Used,0,49482,0
1B4GP44G1YB790379,2016-10-05,34669,Used,0,164408,0
1B4HR28Z9XF514439,2016-10-11,38024,Used,0,168000,0
1B4HR38N42F118530,2016-10-01,29732,Used,1995,203014,3
1B4HR48Z32F216585,2016-10-05,28540,Used,2995,148583,3
1B4HR48Z32F216585,2016-10-12,28540,Used,2995,148583,3
1B4HR48Z32F216585,2016-10-13,28540,Used,2995,148583,3
1B4HS28N31F506345,2016-10-03,27262,Used,6495,0,1
1B4HS28N31F506345,2016-10-04,27262,Used,6495,0,1
1B4HS28N31F506345,2016-10-10,27262,Used,6495,0,1
1B4HS28Y2WF151654,2016-10-05,32060,Used,2000,0,1
1B4HS28Y2WF151654,2016-10-10,32060,Used,2000,0,1
1B4HS28Y8WF109988,2016-10-08,89502,Used,0,130000,0
1B4HS58N42F101663,2016-10-11,8037,Used,5995,86308,0
1B7FD14T3GS094866,2016-10-12,30110,Used,11500,81000,54
1B7FL26X71S173022,2016-10-14,29732,Used,2500,156413,12
1B7GG22X0XS105913,2016-10-14,32907,Used,2799,219695,14
1B7GG22Y5WS603029,2016-10-05,37920,Used,3695,66675,6
1B7GG42N62S595650,2016-10-14,31021,Used,2500,184761,0
1B7GL12X72S603718,2016-10-10,28043,Used,0,117855,4
1B7HC13Y7WJ206419,2016-10-05,32308,Used,3495,152371,1
1B7HC13Z6YJ113676,2016-10-02,28562,Used,4990,235590,14
1B7HC16X3WS642231,2016-10-03,29170,Used,0,155593,3
1B7HC16X3WS642231,2016-10-05,29170,Used,0,155593,3
1B7HC16Y01S166733,2016-10-09,36526,Used,2995,0,21
1B7HC16Y01S166733,2016-10-12,36526,Used,2995,0,21
1B7HC16YXXS158244,2016-10-05,29730,Used,0,216709,19
1B7HF13Y4TJ171261,2016-10-10,30248,Used,2699,349650,12
1B7HF16Z1TS546280,2016-10-12,34231,Used,5900,0,14
1B7HG48N22S659436,2016-10-12,27262,Used,4990,237577,20
1B7HG48N22S659436,2016-10-14,27262,Used,4990,237577,20
1B7HL2AN51S308075,2016-10-14,29645,Used,4995,238645,6
1B7HU18N12J103731,2016-10-13,34205,Used,0,179373,0
1B7KF2368XJ627505,2016-10-04,73128,Used,13777,193200,18
1B7KF2368XJ627505,2016-10-12,73128,Used,13777,193200,18
1B7KF23691J536783,2016-10-08,27406,Used,13995,189053,0
1C3AN65L06X069612,2016-10-10,33908,Used,9995,103253,0
1C3AN65L55X046311,2016-10-01,39503,Used,9850,64729,0
1C3AN65L55X046311,2016-10-09,39503,Used,9850,64729,0
1C3AN69L65X038454,2016-10-04,29720,Used,6995,119707,13
1C3AN69L65X038454,2016-10-09,29720,Used,6995,119707,13
1C3BC1FB8BN600578,2016-10-11,35023,Used,0,183071,0
1C3BC5ED2AN143047,2016-10-12,34207,Used,0,67395,0
1C3BCBEB6CN119544,2016-10-09,34601,Used,11459,52449,0
1C3CC4FB1AN219997,2016-10-04,50131,Used,10494,53589,0
1C3CC4FB6AN139899,2016-10-14,77598,Used,7999,70598,4
1C3CCBAB0DN647026,2016-10-06,37421,Used,9950,52027,19
1C3CCBAB0DN647026,2016-10-13,37421,Used,9950,52027,19
1C3CCBAB5DN760745,2016-10-09,37421,Used,0,117598,0
