ZIP,city,state
10994,Burlington,New York
13208,Macedonia,New York
14220,Hudson,New York
15216,Greensburg,Pennsylvania
15216,Pittsburgh,Pennsylvania
15216,Queens Village,Pennsylvania
15216,Saint Marys,Pennsylvania
15216,null,Pennsylvania
1523,Biddeford,Massachusetts
16830,Clearfield,Pennsylvania
1852,Lancaster,Massachusetts
1852,Nashua,Massachusetts
1852,Seattle,Massachusetts
1852,Tyngsboro,Massachusetts
18915,Ambler,Pennsylvania
18915,Bethlehem,Pennsylvania
18915,Bryn Mawr,Pennsylvania
18915,Camden,Pennsylvania
18915,Chalfont,Pennsylvania
18915,Collegeville,Pennsylvania
18915,Conshohocken,Pennsylvania
18915,Douglasville,Pennsylvania
18915,Doylestown,Pennsylvania
18915,Easton,Pennsylvania
18915,Florence,Pennsylvania
18915,Hatfield,Pennsylvania
18915,Herndon,Pennsylvania
18915,King George,Pennsylvania
18915,Lansdale,Pennsylvania
18915,Millsboro,Pennsylvania
18915,Montgomery,Pennsylvania
18915,Moorestown Township,Pennsylvania
18915,Morton,Pennsylvania
18915,Newfoundland,Pennsylvania
18915,Newton,Pennsylvania
18915,Norristown,Pennsylvania
18915,Oakhurst,Pennsylvania
18915,Philadelphia,Pennsylvania
18915,Plymouth Meeting,Pennsylvania
18915,Royersford,Pennsylvania
18915,Sellersville,Pennsylvania
18915,Upper Marlboro,Pennsylvania
18915,Warminster,Pennsylvania
18915,Washington,Pennsylvania
18915,Wayne,Pennsylvania
18915,Woodbine,Pennsylvania
18915,null,Pennsylvania
20176,Alexandria,Virginia
20176,Annandale,Virginia
20176,Ashburn,Virginia
20176,Bowie,Virginia
20176,Seaford,Virginia
2032,Springfield,Massachusetts
20724,Gaithersburg,Maryland
20852,Arlington,Maryland
20852,Frederick,Maryland
20852,Gaithersburg,Maryland
20852,Potomac,Maryland
20852,Silver Spring,Maryland
2090,Newtonville,Massachusetts
2090,Orono,Massachusetts
21061,Arnold,Maryland
21061,Wilmington,Maryland
2132,Kents Hill,Massachusetts
2132,Portland,Massachusetts
2132,Portsmouth,Massachusetts
2132,South Portland,Massachusetts
2132,Tulsa,Massachusetts
2132,Windsor,Massachusetts
2132,null,Massachusetts
21921,Byron,Maryland
21921,Elkton,Maryland
22046,Alexandria,Virginia
22046,McLean,Virginia
22046,Pittsburgh,Virginia
22046,Salinas,Virginia
22046,Sterling Heights,Virginia
22046,Upper Marlboro,Virginia
22046,Washington,Virginia
22046,null,Virginia
22302,Alexandria,Virginia
22302,Annandale,Virginia
22302,Arlington,Virginia
22302,Ashburn,Virginia
22302,Baltimore,Virginia
22302,Bethesda,Virginia
22302,Bowie,Virginia
22302,Brookhaven,Virginia
22302,Burke,Virginia
22302,Centreville,Virginia
22302,Charles City,Virginia
22302,Charlotte,Virginia
22302,Clinton,Virginia
22302,Cumberland,Virginia
22302,Dumfries,Virginia
22302,Fairfax,Virginia
22302,Fairmont,Virginia
22302,Falls Church,Virginia
22302,Fort Collins,Virginia
22302,Great Falls,Virginia
22302,Greater Capitol Heights,Virginia
22302,Greer,Virginia
22302,Herndon,Virginia
22302,Hopewell,Virginia
22302,Hyattsville,Virginia
22302,Jersey City,Virginia
22302,Lanham,Virginia
22302,Manassas,Virginia
22302,McLean,Virginia
22302,New York,Virginia
22302,Oxon Hill,Virginia
22302,Parkville,Virginia
22302,Pasadena,Virginia
22302,Pflugerville,Virginia
22302,Pittsburgh,Virginia
22302,Potomac,Virginia
22302,Rockville,Virginia
22302,Silver Spring,Virginia
22302,Springfield,Virginia
22302,Stafford,Virginia
22302,Sterling,Virginia
22302,Strasburg,Virginia
22302,Suitland,Virginia
22302,Upper Marlboro,Virginia
22302,Waldorf,Virginia
22302,Washington,Virginia
22302,Woodbridge,Virginia
22302,Woodsboro,Virginia
22302,null,Virginia
22312,Alexandria,Virginia
22312,Bristow,Virginia
22312,Fairfax,Virginia
22312,Manassas,Virginia
22312,Portsmouth,Virginia
22312,Richmond,Virginia
22312,Waldorf,Virginia
22312,Washington,Virginia
22312,null,Virginia
22849,Clarks Summit,Virginia
22849,Edinburg,Virginia
22849,Staunton,Virginia
23112,Richmond,Virginia
23235,Charlottesville,Virginia
23235,Chester,Virginia
23235,Richmond,Virginia
23235,null,Virginia
2339,Biddeford,Massachusetts
2339,Cumberland,Massachusetts
23455,Elizabeth City,Virginia
23455,Moravian Falls,Virginia
23455,Richmond,Virginia
23455,Unorganized Territory of Camp Lejeune,Virginia
23455,Virginia Beach,Virginia
23707,Portsmouth,Virginia
23901,Charlotte,Virginia
23901,Farmville,Virginia
23901,null,Virginia
23970,Richmond,Virginia
24210,Abingdon,Virginia
24210,Elizabethton,Virginia
24210,null,Virginia
24416,Ashburn,Virginia
24416,Buckingham,Virginia
24416,Lexington,Virginia
24416,null,Virginia
24450,Altavista,Virginia
24450,Earlysville,Virginia
24450,Las Vegas,Virginia
