vin_prefix,year,make,model
137ZA903_W,1998,AM General,Hummer
19UYA225_X,1999,Acura,CL
19UYA426_1,2001,Acura,CL
19UDE2F7_G,2016,Acura,ILX
JH4DC445_R,1994,Acura,Integra
JH4KA763_P,1993,Acura,Legend
2HNYD186_1,2001,Acura,MDX
2HNYD182_2,2002,Acura,MDX
2HNYD186_2,2002,Acura,MDX
2HNYD182_3,2003,Acura,MDX
2HNYD189_3,2003,Acura,MDX
2HNYD182_4,2004,Acura,MDX
2HNYD187_4,2004,Acura,MDX
2HNYD189_4,2004,Acura,MDX
2HNYD186_5,2005,Acura,MDX
2HNYD188_5,2005,Acura,MDX
2HNYD186_6,2006,Acura,MDX
2HNYD188_6,2006,Acura,MDX
2HNYD282_7,2007,Acura,MDX
2HNYD283_7,2007,Acura,MDX
2HNYD282_8,2008,Acura,MDX
2HNYD283_8,2008,Acura,MDX
2HNYD284_8,2008,Acura,MDX
2HNYD285_8,2008,Acura,MDX
2HNYD2H4_A,2010,Acura,MDX
2HNYD2H6_B,2011,Acura,MDX
2HNYD2H4_D,2013,Acura,MDX
5FRYD3H2_E,2014,Acura,MDX
5FRYD3H4_G,2016,Acura,MDX
5J8TB182_7,2007,Acura,RDX
5J8TB185_7,2007,Acura,RDX
5J8TB185_8,2008,Acura,RDX
5J8TB182_9,2009,Acura,RDX
5J8TB3H5_D,2013,Acura,RDX
5J8TB4H3_D,2013,Acura,RDX
5J8TB3H3_E,2014,Acura,RDX
JH4KA966_4,2004,Acura,RL
JH4KB165_6,2006,Acura,RL
JH4KB165_8,2008,Acura,RL
JH4KB266_9,2009,Acura,RL
JH4DC548_6,2006,Acura,RSX
19UUA566_Y,2000,Acura,TL
19UUA566_2,2002,Acura,TL
19UUA567_2,2002,Acura,TL
19UUA568_2,2002,Acura,TL
19UUA569_2,2002,Acura,TL
19UUA566_3,2003,Acura,TL
19UUA655_4,2004,Acura,TL
19UUA662_4,2004,Acura,TL
19UUA662_5,2005,Acura,TL
19UUA662_6,2006,Acura,TL
19UUA662_7,2007,Acura,TL
19UUA765_7,2007,Acura,TL
19UUA662_8,2008,Acura,TL
19UUA862_9,2009,Acura,TL
19UUA8F2_A,2010,Acura,TL
19UUA8F5_A,2010,Acura,TL
19UUA9F5_A,2010,Acura,TL
19UUA8F5_C,2012,Acura,TL
19UUA8F2_D,2013,Acura,TL
19UUA8F5_D,2013,Acura,TL
19UUB2F3_G,2016,Acura,TLX
JH4CL968_6,2006,Acura,TSX
JH4CL969_7,2007,Acura,TSX
JH4CU266_9,2009,Acura,TSX
JH4CU2F6_A,2010,Acura,TSX
JH4CU2F6_B,2011,Acura,TSX
JH4CU2F4_C,2012,Acura,TSX
JH4CU2F4_E,2014,Acura,TSX
WAUNF78P_6,2006,Audi,A3
WAUNF78P_7,2007,Audi,A3
WAUA7GFF_G,2016,Audi,A3
WAUDA88D_T,1996,Audi,A4
WAULT68E_2,2002,Audi,A4
WAUAC48H_5,2005,Audi,A4
WAUAF78E_5,2005,Audi,A4
WAUBC48H_5,2005,Audi,A4
WAUAC48H_6,2006,Audi,A4
WAUBF78E_6,2006,Audi,A4
WAUDF78E_6,2006,Audi,A4
WAUDF78E_7,2007,Audi,A4
WAUAF78E_8,2008,Audi,A4
WAUDF78E_8,2008,Audi,A4
WAUDH48H_8,2008,Audi,A4
WAUSF78K_9,2009,Audi,A4
WAUAFAFL_A,2010,Audi,A4
WAUFFAFL_C,2012,Audi,A4
WAUAFAFL_E,2014,Audi,A4
WAUFFAFL_E,2014,Audi,A4
WAUBFAFL_F,2015,Audi,A4
WAUFFAFL_G,2016,Audi,A4
WAUCFAFR_D,2013,Audi,A5
WAULT64B_4,2004,Audi,A6
WAUDG74F_5,2005,Audi,A6
WAUDG74F_6,2006,Audi,A6
WAUKGAFB_B,2011,Audi,A6
WAUBGAFC_C,2012,Audi,A6
WAUCFAFC_D,2013,Audi,A6
WAUSGAFC_C,2012,Audi,A7
WAUML44D_2,2002,Audi,A8
WAUML44E_4,2004,Audi,A8
WAUML44E_5,2005,Audi,A8
WAUML44E_6,2006,Audi,A8
WAUMV94E_9,2009,Audi,A8
WA1YD64B_4,2004,Audi,Allroad
WA1UFAFL_G,2016,Audi,Allroad
WA1GFCFS_G,2016,Audi,Q3
WA1KK78R_9,2009,Audi,Q5
WA1CFAFP_C,2012,Audi,Q5
WA1LFAFP_C,2012,Audi,Q5
WA1LFAFP_D,2013,Audi,Q5
WA1LFAFP_E,2014,Audi,Q5
WA1BY74L_7,2007,Audi,Q7
WA1EY74L_7,2007,Audi,Q7
WA1EV74L_8,2008,Audi,Q7
WA1DGAFE_D,2013,Audi,Q7
WA1LMAFE_E,2014,Audi,Q7
WAURD68D_1,2001,Audi,S4
WAUKGAFL_A,2010,Audi,S4
WAUCGAFH_E,2014,Audi,S5
TRUTC28N_Y,2000,Audi,TT
TRUTC28N_1,2001,Audi,TT
TRUUT28N_2,2002,Audi,TT
TRUJF38J_9,2009,Audi,TT
WBAUL735_9,2009,BMW,1 Series
WBAUP735_9,2009,BMW,1 Series
WBAUL7C5_A,2010,BMW,1 Series
WBAUC9C5_D,2013,BMW,1 Series
WBAUL7C5_D,2013,BMW,1 Series
WBAUP7C5_D,2013,BMW,1 Series
WBA1L9C5_G,2016,BMW,2 Series
WBA1M1C5_G,2016,BMW,2 Series
WBABJ632_S,1995,BMW,3 Series
WBABF732_W,1998,BMW,3 Series
WBABG232_W,1998,BMW,3 Series
WBAAM333_Y,2000,BMW,3 Series
WBAAM334_Y,2000,BMW,3 Series
WBABR334_Y,2000,BMW,3 Series
WBAAV334_1,2001,BMW,3 Series
WBAAV534_1,2001,BMW,3 Series
WBABS534_1,2001,BMW,3 Series
WBAEV334_2,2002,BMW,3 Series
WBAEV534_2,2002,BMW,3 Series
WBAEV334_3,2003,BMW,3 Series
WBAEV534_3,2003,BMW,3 Series
WBAEW534_3,2003,BMW,3 Series
WBABD334_4,2004,BMW,3 Series
WBABD534_4,2004,BMW,3 Series
WBABW334_4,2004,BMW,3 Series
WBABW534_4,2004,BMW,3 Series
WBAET374_4,2004,BMW,3 Series
WBAEU334_4,2004,BMW,3 Series
WBAEV334_4,2004,BMW,3 Series
WBAEV534_4,2004,BMW,3 Series
WBABW334_5,2005,BMW,3 Series
WBAEU334_5,2005,BMW,3 Series
WBAEV534_5,2005,BMW,3 Series
WBABD534_6,2006,BMW,3 Series
WBABW334_6,2006,BMW,3 Series
WBAVB135_6,2006,BMW,3 Series
WBAVB175_6,2006,BMW,3 Series
WBAVB335_6,2006,BMW,3 Series
WBAVD135_6,2006,BMW,3 Series
WBAVA335_7,2007,BMW,3 Series
WBAVA375_7,2007,BMW,3 Series
WBAVC935_7,2007,BMW,3 Series
WBAVD535_7,2007,BMW,3 Series
WBAWL735_7,2007,BMW,3 Series
WBAVA335_8,2008,BMW,3 Series
WBAVA375_8,2008,BMW,3 Series
WBAVB735_8,2008,BMW,3 Series
WBAVD535_8,2008,BMW,3 Series
WBAWB335_8,2008,BMW,3 Series
WBAWC735_8,2008,BMW,3 Series
WBAWL135_8,2008,BMW,3 Series
WBAWL735_8,2008,BMW,3 Series
WBAPH575_9,2009,BMW,3 Series
WBAPH735_9,2009,BMW,3 Series
WBAPH775_9,2009,BMW,3 Series
WBAPK535_9,2009,BMW,3 Series
WBAWB735_9,2009,BMW,3 Series
WBAPN7C5_A,2010,BMW,3 Series
WBAWR3C5_A,2010,BMW,3 Series
WBADW3C5_B,2011,BMW,3 Series
WBADW7C5_B,2011,BMW,3 Series
WBAKG1C5_B,2011,BMW,3 Series
WBAKG7C5_B,2011,BMW,3 Series
WBAPH7C5_B,2011,BMW,3 Series
WBAPH7G5_B,2011,BMW,3 Series
WBA3A5C5_D,2013,BMW,3 Series
WBA3A9G5_D,2013,BMW,3 Series
WBA3B3C5_D,2013,BMW,3 Series
WBA3B5G5_D,2013,BMW,3 Series
WBA3C1C5_D,2013,BMW,3 Series
WBA3C1G5_D,2013,BMW,3 Series
WBADW3C5_D,2013,BMW,3 Series
WBA3B1G5_E,2014,BMW,3 Series
WBA3C3C5_E,2014,BMW,3 Series
WBA3X5C5_E,2014,BMW,3 Series
WBA3B3C5_F,2015,BMW,3 Series
WBA8E3G5_G,2016,BMW,3 Series
WBADN634_3,2003,BMW,5 Series
WBADT434_3,2003,BMW,5 Series
WBADT634_3,2003,BMW,5 Series
WBANA735_4,2004,BMW,5 Series
WBANB335_4,2004,BMW,5 Series
WBANA535_5,2005,BMW,5 Series
WBANA735_5,2005,BMW,5 Series
WBANB535_6,2006,BMW,5 Series
WBANE535_6,2006,BMW,5 Series
WBANE735_6,2006,BMW,5 Series
WBANF335_6,2006,BMW,5 Series
WBANN735_6,2006,BMW,5 Series
WBANE535_7,2007,BMW,5 Series
WBANE735_7,2007,BMW,5 Series
WBANV935_8,2008,BMW,5 Series
WBANU535_9,2009,BMW,5 Series
WBANV135_9,2009,BMW,5 Series
WBANU5C5_A,2010,BMW,5 Series
WBANV1C5_A,2010,BMW,5 Series
WBANW1C5_A,2010,BMW,5 Series
WBAFR1C5_B,2011,BMW,5 Series
WBAFR9C5_B,2011,BMW,5 Series
WBAXG5C5_C,2012,BMW,5 Series
WBAFR7C5_D,2013,BMW,5 Series
WBAXG5C5_D,2013,BMW,5 Series
WBAXH5C5_D,2013,BMW,5 Series
WBA5B3C5_E,2014,BMW,5 Series
WBA5B3C5_F,2015,BMW,5 Series
