VIN,vin_prefix,trim,body_style,cab_style
137ZA9037WE182295,137ZA90_W,Open Top,SUV,null
19UDE2F78GA020523,19UDE2F_G,Premium,Sedan,null
19UUA56623A083857,19UUA56_3,,Sedan,null
19UUA56632A007014,19UUA56_2,,Sedan,null
19UUA5667YA063613,19UUA56_Y,,Sedan,null
19UUA5668YA010189,19UUA56_Y,,Sedan,null
19UUA56742A049295,19UUA56_2,,Sedan,null
19UUA56872A018678,19UUA56_2,Type S,Sedan,null
19UUA56952A015965,19UUA56_2,Type S,Sedan,null
19UUA65514A052115,19UUA65_4,,Sedan,null
19UUA66216A077393,19UUA66_6,,Sedan,null
19UUA66234A027768,19UUA66_4,,Sedan,null
19UUA66237A013387,19UUA66_7,,Sedan,null
19UUA66246A075637,19UUA66_6,,Sedan,null
19UUA66254A030770,19UUA66_4,,Sedan,null
19UUA66264A036335,19UUA66_4,,Sedan,null
19UUA66275A025426,19UUA66_5,,Sedan,null
19UUA66284A030892,19UUA66_4,,Sedan,null
19UUA66284A070907,19UUA66_4,,Sedan,null
19UUA66285A044471,19UUA66_5,,Sedan,null
19UUA66286A012959,19UUA66_6,,Sedan,null
19UUA66286A061420,19UUA66_6,,Sedan,null
19UUA66286A072773,19UUA66_6,,Sedan,null
19UUA66287A038222,19UUA66_7,,Sedan,null
19UUA66288A053255,19UUA66_8,,Sedan,null
19UUA66295A070531,19UUA66_5,,Sedan,null
19UUA662X4A039951,19UUA66_4,,Sedan,null
19UUA662X5A006417,19UUA66_5,,Sedan,null
19UUA662X5A058405,19UUA66_5,,Sedan,null
19UUA76517A031757,19UUA76_7,Type S,Sedan,null
19UUA86249A014398,19UUA86_9,,Sedan,null
19UUA86289A001587,19UUA86_9,,Sedan,null
19UUA8F22AA022844,19UUA8F_A,,Sedan,null
19UUA8F25AA005830,19UUA8F_A,,Sedan,null
19UUA8F26AA002371,19UUA8F_A,,Sedan,null
19UUA8F29DA006449,19UUA8F_D,,Sedan,null
19UUA8F54DA010497,19UUA8F_D,Technology,Sedan,null
19UUA8F55AA004851,19UUA8F_A,Technology,Sedan,null
19UUA8F5XCA025648,19UUA8F_C,Technology,Sedan,null
19UUA9F52AA002089,19UUA9F_A,Technology,Sedan,null
19UUB2F32GA007675,19UUB2F_G,,Sedan,null
19UYA2251XL009479,19UYA22_X,,Coupe,null
19UYA42661A037544,19UYA42_1,Type S,Coupe,null
19XFA16529E047616,19XFA16_9,LX,Sedan,null
19XFA16869E002768,19XFA16_9,EX,Sedan,null
19XFA1F38AE064309,19XFA1F_A,DX,Sedan,null
19XFB2F51EE033445,19XFB2F_E,LX,Sedan,null
19XFB2F52EE055843,19XFB2F_E,LX,Sedan,null
19XFB2F53DE092513,19XFB2F_D,LX,Sedan,null
19XFB2F55FE073576,19XFB2F_F,LX,Sedan,null
19XFB2F59EE082988,19XFB2F_E,LX,Sedan,null
19XFB2F5XDE232279,19XFB2F_D,LX,Sedan,null
19XFB2F81CE016345,19XFB2F_C,EX,Sedan,null
19XFB2F81CE083527,19XFB2F_C,EX,Sedan,null
19XFB2F82DE079794,19XFB2F_D,EX,Sedan,null
19XFB2F86EE022984,19XFB2F_E,EX,Sedan,null
19XFB4F31FE201807,19XFB4F_F,,Sedan,null
1A8HW58P09F705562,1A8HW58_9,Limited Edition,SUV,null
1A8HX58N58F107462,1A8HX58_8,Limited Edition,SUV,null
1B3BD4FB7BN598558,1B3BD4F_B,Express,Sedan,null
1B3CB3HA2BD113208,1B3CB3H_B,Mainstreet,Hatchback,null
1B3CB3HA7BD225373,1B3CB3H_B,Mainstreet,Hatchback,null
1B3CB4HA5AD533422,1B3CB4H_A,SXT,Hatchback,null
1B3CC4FB1AN103664,1B3CC4F_A,SXT,Sedan,null
1B3CC4FB2AN186523,1B3CC4F_A,SXT,Sedan,null
