vin_prefix,year,make,model
137ZA90_W,1998,AM General,Hummer
19UYA22_X,1999,Acura,CL
19UYA42_1,2001,Acura,CL
19UDE2F_G,2016,Acura,ILX
JH4DC44_R,1994,Acura,Integra
JH4KA76_P,1993,Acura,Legend
2HNYD18_1,2001,Acura,MDX
2HNYD18_2,2002,Acura,MDX
2HNYD18_3,2003,Acura,MDX
2HNYD18_4,2004,Acura,MDX
2HNYD18_5,2005,Acura,MDX
2HNYD18_6,2006,Acura,MDX
2HNYD28_7,2007,Acura,MDX
2HNYD28_8,2008,Acura,MDX
2HNYD2H_A,2010,Acura,MDX
2HNYD2H_B,2011,Acura,MDX
2HNYD2H_D,2013,Acura,MDX
5FRYD3H_E,2014,Acura,MDX
5FRYD3H_G,2016,Acura,MDX
5J8TB18_7,2007,Acura,RDX
5J8TB18_8,2008,Acura,RDX
5J8TB18_9,2009,Acura,RDX
5J8TB3H_D,2013,Acura,RDX
5J8TB4H_D,2013,Acura,RDX
5J8TB3H_E,2014,Acura,RDX
JH4KA96_4,2004,Acura,RL
JH4KB16_6,2006,Acura,RL
JH4KB16_8,2008,Acura,RL
JH4KB26_9,2009,Acura,RL
JH4DC54_6,2006,Acura,RSX
19UUA56_Y,2000,Acura,TL
19UUA56_2,2002,Acura,TL
19UUA56_3,2003,Acura,TL
19UUA65_4,2004,Acura,TL
19UUA66_4,2004,Acura,TL
19UUA66_5,2005,Acura,TL
19UUA66_6,2006,Acura,TL
19UUA66_7,2007,Acura,TL
19UUA76_7,2007,Acura,TL
19UUA66_8,2008,Acura,TL
19UUA86_9,2009,Acura,TL
19UUA8F_A,2010,Acura,TL
19UUA9F_A,2010,Acura,TL
19UUA8F_C,2012,Acura,TL
19UUA8F_D,2013,Acura,TL
19UUB2F_G,2016,Acura,TLX
JH4CL96_6,2006,Acura,TSX
JH4CL96_7,2007,Acura,TSX
JH4CU26_9,2009,Acura,TSX
JH4CU2F_A,2010,Acura,TSX
JH4CU2F_B,2011,Acura,TSX
JH4CU2F_C,2012,Acura,TSX
JH4CU2F_E,2014,Acura,TSX
WAUNF78_6,2006,Audi,A3
WAUNF78_7,2007,Audi,A3
WAUA7GF_G,2016,Audi,A3
WAUDA88_T,1996,Audi,A4
WAULT68_2,2002,Audi,A4
WAUAC48_5,2005,Audi,A4
WAUAF78_5,2005,Audi,A4
WAUBC48_5,2005,Audi,A4
WAUAC48_6,2006,Audi,A4
WAUBF78_6,2006,Audi,A4
WAUDF78_6,2006,Audi,A4
WAUDF78_7,2007,Audi,A4
WAUAF78_8,2008,Audi,A4
WAUDF78_8,2008,Audi,A4
WAUDH48_8,2008,Audi,A4
WAUSF78_9,2009,Audi,A4
WAUAFAF_A,2010,Audi,A4
WAUFFAF_C,2012,Audi,A4
WAUAFAF_E,2014,Audi,A4
WAUFFAF_E,2014,Audi,A4
WAUBFAF_F,2015,Audi,A4
WAUFFAF_G,2016,Audi,A4
WAUCFAF_D,2013,Audi,A5
WAULT64_4,2004,Audi,A6
WAUDG74_5,2005,Audi,A6
WAUDG74_6,2006,Audi,A6
WAUKGAF_B,2011,Audi,A6
WAUBGAF_C,2012,Audi,A6
WAUCFAF_D,2013,Audi,A6
WAUSGAF_C,2012,Audi,A7
WAUML44_2,2002,Audi,A8
WAUML44_4,2004,Audi,A8
WAUML44_5,2005,Audi,A8
WAUML44_6,2006,Audi,A8
WAUMV94_9,2009,Audi,A8
WA1YD64_4,2004,Audi,Allroad
WA1UFAF_G,2016,Audi,Allroad
WA1GFCF_G,2016,Audi,Q3
WA1KK78_9,2009,Audi,Q5
WA1CFAF_C,2012,Audi,Q5
WA1LFAF_C,2012,Audi,Q5
WA1LFAF_D,2013,Audi,Q5
WA1LFAF_E,2014,Audi,Q5
WA1BY74_7,2007,Audi,Q7
WA1EY74_7,2007,Audi,Q7
WA1EV74_8,2008,Audi,Q7
WA1DGAF_D,2013,Audi,Q7
WA1LMAF_E,2014,Audi,Q7
WAURD68_1,2001,Audi,S4
WAUKGAF_A,2010,Audi,S4
WAUCGAF_E,2014,Audi,S5
TRUTC28_Y,2000,Audi,TT
TRUTC28_1,2001,Audi,TT
TRUUT28_2,2002,Audi,TT
TRUJF38_9,2009,Audi,TT
WBAUL73_9,2009,BMW,1 Series
WBAUP73_9,2009,BMW,1 Series
WBAUL7C_A,2010,BMW,1 Series
WBAUC9C_D,2013,BMW,1 Series
WBAUL7C_D,2013,BMW,1 Series
WBAUP7C_D,2013,BMW,1 Series
WBA1L9C_G,2016,BMW,2 Series
WBA1M1C_G,2016,BMW,2 Series
WBABJ63_S,1995,BMW,3 Series
WBABF73_W,1998,BMW,3 Series
WBABG23_W,1998,BMW,3 Series
WBAAM33_Y,2000,BMW,3 Series
WBABR33_Y,2000,BMW,3 Series
WBAAV33_1,2001,BMW,3 Series
WBAAV53_1,2001,BMW,3 Series
WBABS53_1,2001,BMW,3 Series
WBAEV33_2,2002,BMW,3 Series
WBAEV53_2,2002,BMW,3 Series
WBAEV33_3,2003,BMW,3 Series
WBAEV53_3,2003,BMW,3 Series
WBAEW53_3,2003,BMW,3 Series
WBABD33_4,2004,BMW,3 Series
WBABD53_4,2004,BMW,3 Series
WBABW33_4,2004,BMW,3 Series
WBABW53_4,2004,BMW,3 Series
WBAET37_4,2004,BMW,3 Series
WBAEU33_4,2004,BMW,3 Series
WBAEV33_4,2004,BMW,3 Series
WBAEV53_4,2004,BMW,3 Series
WBABW33_5,2005,BMW,3 Series
WBAEU33_5,2005,BMW,3 Series
WBAEV53_5,2005,BMW,3 Series
WBABD53_6,2006,BMW,3 Series
WBABW33_6,2006,BMW,3 Series
WBAVB13_6,2006,BMW,3 Series
WBAVB17_6,2006,BMW,3 Series
WBAVB33_6,2006,BMW,3 Series
WBAVD13_6,2006,BMW,3 Series
WBAVA33_7,2007,BMW,3 Series
WBAVA37_7,2007,BMW,3 Series
WBAVC93_7,2007,BMW,3 Series
WBAVD53_7,2007,BMW,3 Series
WBAWL73_7,2007,BMW,3 Series
WBAVA33_8,2008,BMW,3 Series
WBAVA37_8,2008,BMW,3 Series
WBAVB73_8,2008,BMW,3 Series
WBAVD53_8,2008,BMW,3 Series
WBAWB33_8,2008,BMW,3 Series
WBAWC73_8,2008,BMW,3 Series
WBAWL13_8,2008,BMW,3 Series
WBAWL73_8,2008,BMW,3 Series
WBAPH57_9,2009,BMW,3 Series
WBAPH73_9,2009,BMW,3 Series
WBAPH77_9,2009,BMW,3 Series
WBAPK53_9,2009,BMW,3 Series
WBAWB73_9,2009,BMW,3 Series
WBAPN7C_A,2010,BMW,3 Series
WBAWR3C_A,2010,BMW,3 Series
WBADW3C_B,2011,BMW,3 Series
WBADW7C_B,2011,BMW,3 Series
WBAKG1C_B,2011,BMW,3 Series
WBAKG7C_B,2011,BMW,3 Series
